date,Close,Net,chg,Open,Low,High,Volume
44739.00,11524.55,-83.07,-0.01,11661.02,11487.07,11677.49,991608205.00
44736.00,11607.62,375.43,0.03,11351.31,11337.78,11613.23,4306716703.00
44735.00,11232.19,179.11,0.02,11137.68,11046.29,11260.27,1034073956.00
44734.00,11053.08,-16.22,0.00,10941.95,10938.06,11216.77,1109033274.00
44733.00,11069.30,270.95,0.03,10974.05,10974.05,11164.99,1186546972.00
44729.00,10798.35,152.25,0.01,10697.55,10638.72,10884.71,2796466869.00
44728.00,10646.10,-453.06,-0.04,10806.02,10565.14,10831.07,1253714301.00
44727.00,11099.16,270.81,0.03,10968.40,10866.39,11244.26,1217383070.00
44726.00,10828.35,19.12,0.00,10897.43,10733.04,10926.81,953679051.00
44725.00,10809.23,-530.80,-0.05,10986.85,10775.14,11071.48,1213468347.00
44722.00,11340.02,-414.20,-0.04,11543.88,11328.27,11569.15,1060700511.00
44721.00,11754.23,-332.05,-0.03,12016.47,11751.98,12115.07,998870254.00
44720.00,12086.27,-88.96,-0.01,12147.28,12052.70,12235.78,911769792.00
44719.00,12175.23,113.86,0.01,11925.81,11888.62,12194.86,900552626.00
44718.00,12061.37,48.64,0.00,12200.33,12004.20,12245.40,911007316.00
44715.00,12012.73,-304.16,-0.02,12097.12,11966.62,12167.44,837590370.00
44714.00,12316.90,322.44,0.03,11945.57,11901.45,12320.12,916659531.00
44713.00,11994.46,-86.93,-0.01,12176.89,11901.44,12237.94,940601383.00
44712.00,12081.39,-49.74,0.00,12137.54,11942.50,12190.08,1765423262.00
44708.00,12131.13,390.48,0.03,11869.69,11856.82,12131.66,942221937.00
44707.00,11740.65,305.91,0.03,11409.84,11406.16,11796.97,930420978.00
44706.00,11434.74,170.29,0.02,11225.03,11211.85,11511.90,907177109.00
44705.00,11264.45,-270.83,-0.02,11326.44,11092.48,11351.61,924231137.00
44704.00,11535.28,180.66,0.02,11396.28,11304.56,11552.07,889208202.00
44701.00,11354.62,-33.88,0.00,11542.67,11035.69,11552.21,1195758959.00
44700.00,11388.50,-29.66,0.00,11364.40,11313.31,11562.82,1052688246.00
44699.00,11418.15,-566.37,-0.05,11790.68,11381.69,11826.22,1025179024.00
44698.00,11984.52,321.73,0.03,11905.57,11754.28,11988.43,1024744283.00
44697.00,11662.79,-142.21,-0.01,11727.14,11627.53,11804.59,978058295.00
44694.00,11805.00,434.04,0.04,11555.98,11510.26,11856.71,1226741671.00
44693.00,11370.96,6.73,0.00,11199.25,11108.76,11547.33,1400407583.00
44692.00,11364.24,-373.43,-0.03,11645.57,11339.18,11844.51,1265015452.00
44691.00,11737.67,114.42,0.01,11900.34,11566.28,11944.94,1281484657.00
44690.00,11623.25,-521.41,-0.04,11923.03,11574.94,11990.61,1242190280.00
44687.00,12144.66,-173.03,-0.01,12246.83,11990.15,12358.42,1089947056.00
44686.00,12317.69,-647.16,-0.05,12787.52,12183.56,12787.52,1103290455.00
44685.00,12964.86,401.10,0.03,12574.73,12367.02,12985.01,1105345838.00
44684.00,12563.76,27.74,0.00,12511.46,12460.99,12645.83,897834966.00
44683.00,12536.02,201.38,0.02,12331.69,12202.41,12542.54,1036024646.00
44680.00,12334.64,-536.89,-0.04,12710.42,12315.74,12861.83,1087910151.00
44679.00,12871.53,382.59,0.03,12712.86,12487.86,12948.52,1009562655.00
44678.00,12488.93,-1.81,0.00,12500.88,12430.90,12703.79,942839484.00
44677.00,12490.74,-514.11,-0.04,12918.04,12490.74,12918.04,1015787157.00
44676.00,13004.85,165.56,0.01,12749.17,12722.59,13011.45,988040144.00
44673.00,12839.29,-335.36,-0.03,13168.80,12828.02,13212.61,950695806.00
44672.00,13174.65,-278.41,-0.02,13623.70,13140.83,13710.70,993826060.00
44671.00,13453.07,-166.59,-0.01,13665.38,13426.13,13678.55,871260912.00
44670.00,13619.66,287.30,0.02,13312.44,13281.22,13643.97,855290520.00
44669.00,13332.36,-18.72,0.00,13319.39,13222.03,13414.27,832412162.00
44665.00,13351.08,-292.51,-0.02,13647.43,13345.22,13662.93,927380864.00
44664.00,13643.59,272.01,0.02,13373.12,13353.66,13679.43,910789686.00
44663.00,13371.57,-40.38,0.00,13584.69,13317.74,13685.95,902418518.00
44662.00,13411.96,-299.04,-0.02,13547.29,13401.39,13585.08,991302917.00
44659.00,13711.00,-186.30,-0.01,13830.47,13693.69,13866.06,858448552.00
44658.00,13897.30,8.48,0.00,13861.49,13689.23,13978.25,931347158.00
44657.00,13888.82,-315.35,-0.02,14002.58,13788.90,14032.84,1087655882.00
44656.00,14204.17,-328.39,-0.02,14490.26,14169.12,14500.29,930396314.00
44655.00,14532.55,271.05,0.02,14304.35,14286.45,14534.38,915410987.00
44652.00,14261.50,40.98,0.00,14269.53,14131.81,14306.94,1019884806.00
44651.00,14220.52,-221.76,-0.02,14444.78,14217.73,14456.74,1104197436.00
44650.00,14442.28,-177.36,-0.01,14558.59,14383.45,14609.25,1010890007.00
44649.00,14619.64,264.73,0.02,14500.39,14419.40,14646.90,1089230007.00
44648.00,14354.90,185.60,0.01,14177.21,14101.34,14356.00,892942223.00
44645.00,14169.30,-22.54,0.00,14194.72,14010.79,14218.76,941778442.00
44644.00,14191.84,269.24,0.02,14001.32,13897.20,14193.55,916741079.00
44643.00,13922.60,-186.21,-0.01,13990.35,13921.65,14152.14,961729630.00
44642.00,14108.82,270.36,0.02,13866.43,13857.29,14141.07,1097310417.00
44641.00,13838.46,-55.38,0.00,13860.39,13682.55,13945.81,1137954425.00
44638.00,13893.84,279.06,0.02,13564.63,13528.06,13899.28,2845771367.00
44637.00,13614.78,178.23,0.01,13360.72,13317.14,13620.80,1141350736.00
44636.00,13436.55,487.93,0.04,13119.37,12992.20,13440.12,1414406199.00
44635.00,12948.62,367.40,0.03,12685.23,12616.59,12973.88,1127226273.00
44634.00,12581.22,-262.59,-0.02,12795.12,12555.35,12918.01,1205746919.00
44631.00,12843.81,-286.15,-0.02,13229.77,12830.37,13239.35,1020798518.00
44630.00,13129.96,-125.58,-0.01,13098.35,12946.28,13163.50,961585214.00
44629.00,13255.55,460.00,0.04,13113.70,13039.79,13301.16,1118750657.00
44628.00,12795.55,-35.41,0.00,12800.04,12670.08,13159.44,1337141359.00
44627.00,12830.96,-482.48,-0.04,13328.36,12828.02,13353.28,1291668126.00
44624.00,13313.44,-224.50,-0.02,13455.23,13224.98,13486.71,1044095602.00
44623.00,13537.94,-214.07,-0.02,13837.59,13472.64,13837.59,1032190780.00
44622.00,13752.02,219.56,0.02,13597.53,13493.91,13796.55,1032993959.00
44621.00,13532.46,-218.94,-0.02,13716.70,13441.32,13777.04,1237790395.00
44620.00,13751.40,56.77,0.00,13570.83,13549.90,13810.64,1389382043.00
44617.00,13694.62,221.04,0.02,13485.26,13358.29,13696.86,978446355.00
44616.00,13473.59,436.10,0.03,12587.88,12587.88,13486.11,1379518544.00
44615.00,13037.49,-344.03,-0.03,13511.75,13032.17,13533.78,944399295.00
44614.00,13381.52,-166.55,-0.01,13424.36,13249.65,13618.72,1015769128.00
44610.00,13548.07,-168.65,-0.01,13735.40,13465.56,13762.40,1016699849.00
